itemLabel,universeLabel
Boba Fett,Star Wars
Boba Fett,Star Wars
Bizarro,DC
Rat King,Teenage Mutant Ninja Turtles
Shinzon,Star Trek
Madelyne Pryor,Marvel
Madelyne Pryor,Earth-616
Rau Le Creuset,Cosmic Era
Hordak,Masters of the Universe
Weyoun,Star Trek
Rey Za Burrel,Cosmic Era
Rei Ayanami,Neon Genesis Evangelion
Joseph,Marvel
Match,DC
Conner Kent,DC
Conner Kent,Prime Earth
Kaine,Marvel
Cammy White,Street Fighter
Mewtwo,Pokémon
Stryfe,Marvel
Ben Reilly,Marvel
Alice Abernathy,Resident Evil
John Bishop,Teenage Mutant Ninja Turtles
Jaden Korr,Star Wars
Cubert J. Farnsworth,Futuramaverse
Dorsk 82,Star Wars
Dorsk 81,Star Wars
Golden Darkness,To Love Ru
Powerhaus,Wildstorm
Luuke Skywalker,Star Wars
Rain Ocampo,Resident Evil
X-24,Earth-17315
Aloy,Horizon
Nyssa-Vex,DC
Stavos Keniclius 5,Star Trek
Krishna,Supergod
Dark Donatello,Teenage Mutant Ninja Turtles
Dark Leonardo,Teenage Mutant Ninja Turtles
Dark Michelangelo,Teenage Mutant Ninja Turtles
Dark Raphael,Teenage Mutant Ninja Turtles
Shredder clone,Teenage Mutant Ninja Turtles
Ava Sharpe,Arrowverse
Becky,Resident Evil
Stussy,One Piece
Lemongrab (2),Adventure Time
Princess Bubblegum Reptilian Clone,Adventure Time
Milkman Man,DC
Ple Two,Universal Century
Marida Cruz,Universal Century
Gabrielle Kinney,Marvel
Gabrielle Kinney,Earth-616
Miss Sinister,Marvel
Miss Sinister,Earth-616
Fake Brother,Teenage Mutant Ninja Turtles
Clone Karai,Teenage Mutant Ninja Turtles
Clone April ONeil,Teenage Mutant Ninja Turtles
Clone Casey Jones,Teenage Mutant Ninja Turtles
Clone Sisyphus,Teenage Mutant Ninja Turtles
Clone Ray Fillet,Teenage Mutant Ninja Turtles
Clone Donatello,Teenage Mutant Ninja Turtles
Clone Leonardo,Teenage Mutant Ninja Turtles
Clone Michaelangelo,Teenage Mutant Ninja Turtles
Clone Raphael,Teenage Mutant Ninja Turtles
Maisie Lockwood,Jurassic Park
Rexy,Jurassic Park
Doctor Stasis,Marvel
Doctor Stasis,Earth-616
S-Snake,One Piece
S-Hawk,One Piece
S-Bear,One Piece
S-Shark,One Piece
Mrs. ONeil,Teenage Mutant Ninja Turtles
Hate-Monger,Marvel
Hate-Monger,Earth-616
Blue,Jurassic Park
Vergere,Star Wars
Ikrit,Star Wars
Captain Tarpals,Star Wars
Darrius,Mortal Kombat
Denzel Crocker,The Fairly OddParents
Misaomaru Kanonji,Bleach
Cartagia,Babylon 5
Q4009257,Chronicles of the Emerged World trilogy
Baby Daisy,Super Mario
Antono Refa,Babylon 5
Breq,Radchaai
Murfy,The Glade of Dreams
Q19886479,Transformers multiverse
Imp,Masters of the Universe
Lysandre,Pokémon
Jazz Fenton,Danny Phantom
Kevin Dooley,Resident Evil
Cottonmouth,Marvel Cinematic
Sil,Whoniverse
Tremor,Image
Valen,Babylon 5
Vlad Drakov,Ravenloft
Passel Argente,Star Wars
Demon King of Confusion,Journey to the West
Poppy Bros. Jr,Kirby
Q11683597,Discworld
Dukhat,Babylon 5
Mags,The Hunger Games
Clove,The Hunger Games
Thresh,The Hunger Games
Mantenna,Masters of the Universe
Chip Skylark,The Fairly OddParents
Gwen Raiden,Buffyverse
Jinjur,Oz
Lord Camembert,Biker Mice from Mars
Q16471360,Mickey Mouse
Atton Rand,Star Wars
Cal Omas,Star Wars
Beckett,World of Darkness
Q16567192,Star Wars
Boulder,My Little Pony G4-G5
Glashelm,Q46996074
Kosatea,Q46996074
Kanesada Izuminokami,Touken Ranbu
Hizamaru,Touken Ranbu
Honebami Toshiro,Touken Ranbu
Gangbang (Superhero Landing),Superhero Landing
Vina,Star Trek
Control,Star Trek
Shahna,Star Trek
White Fox,Marvel
Beata,Star Trek
Nanako Dojima,Persona
Marta Batanides,Star Trek
sage of the mountain,Hereva
Michael Webber,Stargate
Beast,Stargate
Mezcaal,Teenage Mutant Ninja Turtles
Leonardo,Teenage Mutant Ninja Turtles
Reaper,Overwatch
Johnny Town-Mouse,Peter Rabbit
Josette Laughlin,The Vampire Diaries
Ashe,League of Legends
Ezreal,League of Legends
Gnar,League of Legends
Karthus,League of Legends
Nasus,League of Legends
Nocturne,League of Legends
Pantheon,League of Legends
Ryze,League of Legends
Soraka,League of Legends
Twisted Fate,League of Legends
Rell,League of Legends
Wilfrid,Adventure Time
Alan,Masters of the Universe
Garn,Masters of the Universe
Balina,Masters of the Universe
Palos,Masters of the Universe
Justin,Masters of the Universe
Rae,Heaven Sent Gaming
Mik Ezdanitoff,Tintin
Miramanee,Star Trek
Stan Marsh,South Park
Kyle Broflovski,South Park
Kenny McCormick,South Park
Shelley Marsh,South Park
Wendy Testaburger,South Park
Butters Stotch,South Park
Craig Tucker,South Park
