itemLabel,universeLabel
Boba Fett,Star Wars Legends
Boba Fett,Star Wars universe
Bizarro,DC Universe
Rat King,Teenage Mutant Ninja Turtles universe
Shinzon,Star Trek universe
Madelyne Pryor,Marvel Universe
Madelyne Pryor,Earth-616
Rau Le Creuset,Cosmic Era
Hordak,Masters of the Universe universe
Weyoun,Star Trek universe
Rey Za Burrel,Cosmic Era
Rei Ayanami,Neon Genesis Evangelion universe
Joseph,Marvel Universe
Match,DC Universe
Conner Kent,DC Universe
Conner Kent,Prime Earth
Kaine,Marvel Universe
Cammy White,Street Fighter universe
Mewtwo,Pokémon universe
Stryfe,Marvel Universe
Ben Reilly,Marvel Universe
Alice Abernathy,Resident Evil universe
John Bishop,Teenage Mutant Ninja Turtles universe
Jaden Korr,Star Wars Legends
Cubert J. Farnsworth,Futuramaverse
Dorsk 82,Star Wars Legends
Dorsk 81,Star Wars Legends
Golden Darkness,To Love Ru universe
Powerhaus,Wildstorm Universe
Luuke Skywalker,Star Wars Legends
Rain Ocampo,Resident Evil universe
X-24,Earth-17315
Aloy,Horizon universe
Nyssa-Vex,DC Universe
Stavos Keniclius 5,Star Trek universe
Krishna,Supergod universe
Dark Donatello,Teenage Mutant Ninja Turtles universe
Dark Leonardo,Teenage Mutant Ninja Turtles universe
Dark Michelangelo,Teenage Mutant Ninja Turtles universe
Dark Raphael,Teenage Mutant Ninja Turtles universe
Shredder clone,Teenage Mutant Ninja Turtles universe
Ava Sharpe,Arrowverse
Becky,Resident Evil universe
Stussy,One Piece universe
Lemongrab (2),Adventure Time universe
Princess Bubblegum Reptilian Clone,Adventure Time universe
Milkman Man,DC Universe
Ple Two,Universal Century
Marida Cruz,Universal Century
Gabrielle Kinney,Marvel Universe
Gabrielle Kinney,Earth-616
Miss Sinister,Marvel Universe
Miss Sinister,Earth-616
Fake Brother,Teenage Mutant Ninja Turtles universe
Clone Karai,Teenage Mutant Ninja Turtles universe
Clone April O'Neil,Teenage Mutant Ninja Turtles universe
Clone Casey Jones,Teenage Mutant Ninja Turtles universe
Clone Sisyphus,Teenage Mutant Ninja Turtles universe
Clone Ray Fillet,Teenage Mutant Ninja Turtles universe
Clone Donatello,Teenage Mutant Ninja Turtles universe
Clone Leonardo,Teenage Mutant Ninja Turtles universe
Clone Michaelangelo,Teenage Mutant Ninja Turtles universe
Clone Raphael,Teenage Mutant Ninja Turtles universe
Maisie Lockwood,Jurassic Park universe
Rexy,Jurassic Park universe
Doctor Stasis,Marvel Universe
Doctor Stasis,Earth-616
S-Snake,One Piece universe
S-Hawk,One Piece universe
S-Bear,One Piece universe
S-Shark,One Piece universe
Mrs. O'Neil,Teenage Mutant Ninja Turtles universe
Hate-Monger,Marvel Universe
Hate-Monger,Earth-616
Blue,Jurassic Park universe
Vergere,Star Wars Legends
Ikrit,Star Wars Legends
Captain Tarpals,Star Wars universe
Darrius,Mortal Kombat universe
Denzel Crocker,The Fairly OddParents universe
Misaomaru Kanonji,Bleach universe
Cartagia,Babylon 5 universe
Q4009257,Chronicles of the Emerged World trilogy
Baby Daisy,Super Mario universe
Antono Refa,Babylon 5 universe
Breq,Radchaai universe
Murfy,The Glade of Dreams
Q19886479,Transformers multiverse
Imp,Masters of the Universe universe
Lysandre,Pokémon universe
Jazz Fenton,Danny Phantom universe
Kevin Dooley,Resident Evil universe
Cottonmouth,Marvel Cinematic Universe
Sil,Whoniverse
Tremor,Image Universe
Valen,Babylon 5 universe
Vlad Drakov,Ravenloft
Passel Argente,Star Wars Legends
Demon King of Confusion,Journey to the West universe
Poppy Bros. Jr,Kirby universe
Q11683597,Discworld
Dukhat,Babylon 5 universe
Mags,The Hunger Games universe
Clove,The Hunger Games universe
Thresh,The Hunger Games universe
Mantenna,Masters of the Universe universe
Chip Skylark,The Fairly OddParents universe
Gwen Raiden,Buffyverse
Jinjur,Oz universe
Lord Camembert,Biker Mice from Mars universe
Q16471360,Mickey Mouse universe
Atton Rand,Star Wars Legends
Cal Omas,Star Wars Legends
Beckett,World of Darkness
Q16567192,Star Wars Legends
Boulder,My Little Pony G4-G5 universe
Glashelm,Q46996074
Kosatea,Q46996074
Kanesada Izuminokami,Touken Ranbu universe
Hizamaru,Touken Ranbu universe
Honebami Tōshirō,Touken Ranbu universe
Gangbang (Superhero Landing),Superhero Landing Universe
Vina,Star Trek universe
Control,Star Trek universe
Shahna,Star Trek universe
White Fox,Marvel Universe
Beata,Star Trek universe
Nanako Dojima,Persona universe
Marta Batanides,Star Trek universe
sage of the mountain,Hereva
Michael Webber,Stargate universe
Beast,Stargate universe
Mezcaal,Teenage Mutant Ninja Turtles universe
Leonardo,Teenage Mutant Ninja Turtles universe
Reaper,Overwatch universe
Johnny Town-Mouse,Peter Rabbit universe
Josette Laughlin,The Vampire Diaries universe
Ashe,League of Legends universe
Ezreal,League of Legends universe
Gnar,League of Legends universe
Karthus,League of Legends universe
Nasus,League of Legends universe
Nocturne,League of Legends universe
Pantheon,League of Legends universe
Ryze,League of Legends universe
Soraka,League of Legends universe
Twisted Fate,League of Legends universe
Rell,League of Legends universe
Wilfrid,Adventure Time universe
Alan,Masters of the Universe universe
Garn,Masters of the Universe universe
Balina,Masters of the Universe universe
Palos,Masters of the Universe universe
Justin,Masters of the Universe universe
Rae,Heaven Sent Gaming universe
Mik Ezdanitoff,Tintin universe
Miramanee,Star Trek universe
Stan Marsh,South Park universe
Kyle Broflovski,South Park universe
Kenny McCormick,South Park universe
Shelley Marsh,South Park universe
Wendy Testaburger,South Park universe
Butters Stotch,South Park universe
Craig Tucker,South Park universe
Damien Thorn,South Park universe
Emil Svensson,Emil from Lönneberga universe
Stewie Griffin,Family Guy universe
Peter Pevensie,Narnia universe
Susan Pevensie,Narnia universe
Aang,World of Avatar
Ender Wiggin,Ender's Game universe
Bran Stark,World of Ice and Fire
Yue,World of Avatar
Rickon Stark,World of Ice and Fire
Shireen Baratheon,World of Ice and Fire
Rhaenys Targaryen,World of Ice and Fire
Kevin McCallister,Home Alone universe
Harrison Morgan,Dexter universe
Robert,DC Universe
Gage Creed,Multiverse
Pippa,Arrowverse
Sam Monroe,The Simpsons universe
Hope Mikaelson,The Vampire Diaries universe
Astor Bennett,Dexter universe
Henoch,Star Trek universe
Kingo Sunen,Marvel Universe
Yogurt,Spaceballs universe
Donatello,Teenage Mutant Ninja Turtles universe
Vup,Star Trek universe
Mikhail Sergeyevich Cossack,Mega Man universe
Sir Grodus,Super Mario universe
Macho Grubba,Super Mario universe
Culex,Super Mario universe
Draven,League of Legends universe
Garen,League of Legends universe
Maokai,League of Legends universe
Ornn,League of Legends universe
Rammus,League of Legends universe
Rek'Sai,League of Legends universe
Swain,League of Legends universe
Syndra,League of Legends universe
Taliyah,League of Legends universe
Blitzcrank,League of Legends universe
Kha'Zix,League of Legends universe
Skarner,League of Legends universe
Vel'Koz,League of Legends universe
Solina,Q104438515
Bakkull,Masters of the Universe universe
Elmora,Masters of the Universe universe
Carlos Wu,Known Space
Galen Tyrol,Battlestar Galactica universe
Roco-Bai,Marvel Universe
Magtheridon,Warcraft universe
Bernice Summerfield,Whoniverse
David Sheridan,Babylon 5 universe
Evelyn Smythe,Whoniverse
Bupu,Dragonlance
Ivana Boritsi,Ravenloft
Kamen Rider V3,Toei Tokusatsu Universe
Knightsabre,Image Universe
Korba,Dune universe
Muriel Frost,Whoniverse
Psilence,Image Universe
Sarah Kerrigan,StarCraft universe
Sarah Kerrigan,StarCraft universe
Sarah Kerrigan,StarCraft universe
Sarah Kerrigan,Warcraft universe
Sarah Kerrigan,Warcraft universe
Sarah Kerrigan,Warcraft universe
Zeratul,StarCraft universe
Overmind,StarCraft universe
Mannoroth,Warcraft universe
Sargeras,Warcraft universe
Zul'jin,Warcraft universe
Tassadar,StarCraft universe
Vol'jin,Warcraft universe
Raszagal,StarCraft universe
Varian Wrynn,Warcraft universe
Jim Raynor,StarCraft universe
Jim Raynor,Warcraft universe
Even Piell,Star Wars Legends
Alégracia,Trilogy of Alégracia
Rogal Dorn,"Warhammer 40,000 universe"
Midas,Marvel Universe
Byrrah,Marvel Universe
Varimathras,Warcraft universe
Arcturus Mengsk,StarCraft universe
Bodo Baas,Star Wars Legends
Magtheridon,Warcraft universe
Mal'Ganis,Warcraft universe
Sen'jin,Warcraft universe
Tichondrius,Warcraft universe
Biomateria,StarCraft universe
Angus Mengsk,StarCraft universe
Daggoth,StarCraft universe
Kaloth,StarCraft universe
Selendis,StarCraft universe
Adun,StarCraft universe
Gerard DuGalle,StarCraft universe
Zasz,StarCraft universe
Pikachu,Pokémon universe
Aldaris,StarCraft universe
Alexei Stukov,StarCraft universe
Artanis,StarCraft universe
Edmund Duke,StarCraft universe
Fenix,StarCraft universe
Khadgar,Warcraft universe
Zagara,StarCraft universe
Karass,StarCraft universe
Kil'jaeden,Warcraft universe
Steve,Minecraft universe
Alex,Minecraft universe
Jannah,Star Wars universe
Dale Cooper (Doppelgänger),Twin Peaks
Captain Pikachu,Pokémon universe
Jack Staff,Image Universe
Jonas Glim,DC Universe
Lyta Milton,DC Universe
Overt-Kill,Image Universe
Paula Pophouse,Image Universe
Tiffany,Image Universe
Flint,Star Wars Legends
Ares,Camp Half-Blood chronicles
Madame White Snake,Legend of the White Snake
Computron,Transformers multiverse
Ba'alzamon,The Wheel of Time universe
Gloss,The Hunger Games universe
Venia,The Hunger Games universe
Mrs. Everdeen,The Hunger Games universe
Grizzlor,Masters of the Universe universe
Nute Gunray,Star Wars universe
Jar Jar Binks,Star Wars universe
Uatu,Marvel Universe
Uatu,Earth-616
Aron,Marvel Universe
Boss Nass,Star Wars Legends
Boss Nass,Star Wars universe
Visser Three,Animorphs universe
Princess Shroob,Super Mario universe
Commander Mozar,Teenage Mutant Ninja Turtles universe
Zanramon,Teenage Mutant Ninja Turtles universe
Lrrr,Futuramaverse
Ndnd,Futuramaverse
Ch’rell,Teenage Mutant Ninja Turtles universe
Zorax,Teenage Mutant Ninja Turtles universe
Mortu,Teenage Mutant Ninja Turtles universe
Zog,Teenage Mutant Ninja Turtles universe
Traximus,Teenage Mutant Ninja Turtles universe
Monza Ram,Teenage Mutant Ninja Turtles universe
Zukko,Teenage Mutant Ninja Turtles universe
Xeinos,Teenage Mutant Ninja Turtles universe
Chrell,Teenage Mutant Ninja Turtles universe
Bishop,Teenage Mutant Ninja Turtles universe
Ch’rell,Teenage Mutant Ninja Turtles universe
Krang,Teenage Mutant Ninja Turtles universe
Slashuur,Teenage Mutant Ninja Turtles universe
Mozar,Teenage Mutant Ninja Turtles universe
Zanramon,Teenage Mutant Ninja Turtles universe
Zog,Teenage Mutant Ninja Turtles universe
Zog,Teenage Mutant Ninja Turtles universe
Mozar,Teenage Mutant Ninja Turtles universe
Zax,Teenage Mutant Ninja Turtles universe
Zoran,Teenage Mutant Ninja Turtles universe
Zanmoran,Teenage Mutant Ninja Turtles universe
Zeno,Teenage Mutant Ninja Turtles universe
Zovox,Teenage Mutant Ninja Turtles universe
Zarus,Teenage Mutant Ninja Turtles universe
Zork,Teenage Mutant Ninja Turtles universe
Zork,Teenage Mutant Ninja Turtles universe
Widow,Marvel Universe
Widow,Earth-616
Alexander,Star Trek universe
Redmond Mann,Team Fortress universe
Hunter Covington,Serenityverse
Lone Starr,Spaceballs universe
Kingfish,Teenage Mutant Ninja Turtles universe
Louie,Talespin universe
Turtle Warrior,Teenage Mutant Ninja Turtles universe
Dark Helmet,Spaceballs universe
Number One,Star Trek universe
Michelangelo,Teenage Mutant Ninja Turtles universe
Nermal,Garfield universe
Lizzie Saltzman,The Vampire Diaries universe
Cho'Gath,League of Legends universe
Illaoi,League of Legends universe
Kayle,League of Legends universe
Nautilus,League of Legends universe
Nidalee,League of Legends universe
Rengar,League of Legends universe
Rumble,League of Legends universe
Shaco,League of Legends universe
Shen,League of Legends universe
Sylas,League of Legends universe
Trundle,League of Legends universe
Vladimir,League of Legends universe
Xerath,League of Legends universe
Yasuo,League of Legends universe
Kog'Maw,League of Legends universe
Squint,Teenage Mutant Ninja Turtles universe
Speedy,DC Universe
Ezio Auditore da Firenze,Assassin's Creed universe
Sly Cooper,Sly Cooper universe
Eddie Brock,Marvel Universe
Eddie Brock,Earth-616
Emmeline Vance,Harry Potter universe
Spyke,Marvel Universe
Carrie Kelley,DC Universe
Casey Jones,Teenage Mutant Ninja Turtles universe
Nite Owl I,DC Universe
Mundungus Fletcher,Harry Potter universe
Max Guevara,Dark Angel universe
Nightrunner,DC Universe
Bronze Tiger,DC Universe
Manchester Black,DC Universe
Andrea Beaumont,DC Animated Universe
Arya Stark,World of Ice and Fire
Deathblow,Wildstorm Universe
Dinah Redmond,Earth-203
Manhunter,DC Universe
Lock-Up,DC Universe
Codename: Assassin,DC Universe
Spider-Man Noir,Marvel Universe
Robin,Earth-Two
Phil Urich,Marvel Universe
Confessor,Wildstorm Universe
Darkdevil,Marvel Comics 2
Felicity Hardy,Marvel Comics 2
Danny Ketch,Marvel Universe
Silhouette,DC Universe
Atom,DC Universe
Black Orchid,Killer Instinct universe
Dedalus Diggle,Harry Potter universe
Elphias Doge,Harry Potter universe
Kid Devil,DC Universe
Lobster Johnson,Hellboy Universe
Master Izo,Marvel Universe
Nite-Wing,DC Universe
Protector,DC Universe
Robin Hood,DC Universe
Tremor,Image Universe
Wild Dog,DC Universe
Yellowjacket,DC Universe
Crimson Avenger,DC Universe
Punisher 2099,Marvel Universe
Frank Longbottom,Harry Potter universe
Dorcas Meadowes,Harry Potter universe
Edgar Bones,Harry Potter universe
Simon Dark,DC Universe
Bluebird,DC Universe
Sara Lance,Arrowverse
Knightfall,DC Universe
Arno Dorian,Assassin's Creed universe
Silk,Marvel Universe
Silk,Earth-616
Arkham Knight,DC Universe
The Saint of Killers,DC Universe
Spider-Woman,Marvel Universe
John Diggle,Arrowverse
Thea Queen,Arrowverse
Bayek of Siwa,Assassin's Creed universe
Zari Tomaz,Arrowverse
Ann Takamaki,Persona universe
Leonard Snart,Arrowverse
Nora Darhk,Arrowverse
Ray Palmer,Arrowverse
Cassidy,Overwatch universe
Mona Wu,Arrowverse
Connor Hawke,Arrowverse
Behrad Tarazi,Arrowverse
Charlie,Arrowverse
Roy Harper,Arrowverse
Glory-Bee,Mickey Mouse universe
Hardball,Marvel Universe
Backlash,Wildstorm Universe
Manhunter,DC Universe
Ke'Haan,DC Universe
Kid Eternity,DC Universe
Leap-Frog,Marvel Universe
Lori Morning,DC Universe
Luna,Earth-616
Manhattan Guardian,DC Universe
Odan-Urr,Star Wars Legends
Ol-Vir,DC Universe
R. J. Brande,DC Universe
Scarlet Spider,Marvel Universe
Q3930736,Donald Duck universe
King Michael XIV,Mickey Mouse universe
Rond Vidar,DC Universe
Sabine,Image Universe
Sarge Steel,DC Universe
Skyman,DC Universe
Solo,Marvel Universe
Sparkler,DC Universe
Stel,DC Universe
Stone Boy,DC Universe
Supergirl,DC Universe
Sylvester Pemberton,DC Universe
Sylvester Pemberton,New Earth
Sylvester Pemberton,Earth-167
Sylvester Pemberton,Earth-2
Taj Junak,Star Wars Legends
Tex Thompson,DC Universe
Thundra,Marvel Universe
Thundra,Earth-715
Turytt,DC Universe
Tyroc,DC Universe
Infinity-Man,DC Universe
Vext,DC Universe
Vodo-Siosk Baas,Star Wars Legends
Weeper,DC Universe
Yankee Poodle,DC Universe
Hit-Monkey,Marvel Universe
Bernadeth,DC Universe
Adri Nital,Marvel Universe
Alexandre LeRoi,DC Universe
Alyssa Moy,Marvel Universe
Ani-Mator,Marvel Universe
Anna Fortune,DC Universe
Anti-Matter Man,DC Universe
Madman,Marvel Universe
Arkillo,DC Universe
Armory,Marvel Universe
Beep the Meep,Whoniverse
Bekka,DC Universe
Bibbo Bibbowski,DC Universe
Black Fury,Marvel Universe
Black Rider,Marvel Universe
Bliss,Wildstorm Universe
Blue Eagle,Marvel Universe
Bluebird,Marvel Universe
Bluebird,Earth-616
Scorn,DC Universe
Brain Drain,Marvel Universe
Breach,DC Universe
Brutale,DC Universe
Everyman,Marvel Universe
Cameron Hodge,Marvel Universe
Cameron Hodge,Earth-616
Captain,Marvel Universe
Captain Ultra,Marvel Universe
Challenger,Marvel Universe
Challenger,Earth-616
Chris KL-99,DC Universe
Cinderblock,DC Universe
Claw the Unconquered,DC Universe
Clock,DC Universe
Clown,Marvel Universe
Combat Colin,Marvel Universe
Condition Red,Wildstorm Universe
Construct,DC Universe
Cyberface,Image Universe
D'Spayre,Marvel Universe
D'Spayre,Earth-616
Dan Turpin,DC Universe
R2-D2,Star Wars Legends
R2-D2,Star Wars universe
General Grievous,Star Wars universe
Cad Bane,Star Wars Legends
Cad Bane,Star Wars universe
Jubilee,Marvel Universe
Superman,DC Universe
Ronin,Marvel Universe
Hangman,Marvel Universe
Hangman,Earth-616
Freedom Ring,Marvel Universe
Freedom Ring,Earth-616
Lord Conquest,DC Universe
Moominpappa,Moomin world
Krang,Teenage Mutant Ninja Turtles universe
Captain Atom,DC Universe
Voodoo,DC Universe
Eivor,Assassin's Creed universe
Black Canary (Dinah Drake),DC Universe
Black Canary (Dinah Lance),DC Universe
Goro Akechi,Persona universe
Kendra Saunders,Arrowverse
Poison Ivy,DC Universe
Tikkes,Star Wars Legends
Ultimate Spider-Woman,Marvel Universe
Eye-Scream,Marvel Universe
Dancing Water,Marvel Universe
Dancing Water,Earth-616
Q45132153,World of Troy
Q45312518,World of Troy
Shayera Thal,DC Universe
King Arthur,Marvel Universe
King Arthur,Earth-616
Chay-Ara,DC Universe
Nabu,DC Universe
Bigby Wolf,Fables universe
Jai West,DC Universe
Wonder Woman,DC Universe
Themis,DC Universe
Don Allen,DC Universe
Sideways,DC Universe
Aaron Cash,DC Universe
Fei Lian,Marvel Universe
Fei Lian,Earth-616
Medic,Team Fortress universe
Gangbang (Superhero Landing),Superhero Landing Universe
Harpy,DC Universe
Cloak,Marvel Universe
Cloak,Earth-616
Red Dart,DC Universe
Private Plato,Beetle Bailey universe
Alpha,The Walking Dead universe
Krishna,Supergod universe
Doctor Aphra,Star Wars universe
Lydia,The Walking Dead Television Universe
Lydia,The Walking Dead Comic Universe
Vriska Serket,Homestuck multiverse
Ajak,Marvel Cinematic Universe
Ikaris,Marvel Cinematic Universe
Gilgamesh,Marvel Cinematic Universe
Makkari,Marvel Cinematic Universe
Phastos,Marvel Cinematic Universe
Sprite,Marvel Cinematic Universe
Thena,Marvel Cinematic Universe
Kingo Sunen,Marvel Cinematic Universe
Goose,Marvel Cinematic Universe
Soren,Marvel Cinematic Universe
Norex,Marvel Cinematic Universe
Niles Van Roekel,Marvel Universe
Dask,Teenage Mutant Ninja Turtles universe
Zak,Teenage Mutant Ninja Turtles universe
Kala,Teenage Mutant Ninja Turtles universe
Tribble,Teenage Mutant Ninja Turtles universe
Zenter,Teenage Mutant Ninja Turtles universe
Klaatu,Teenage Mutant Ninja Turtles universe
Barada,Teenage Mutant Ninja Turtles universe
Nikto,Teenage Mutant Ninja Turtles universe
Gizzla,Teenage Mutant Ninja Turtles universe
