EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	03:45:17	0.0010	1.8932	1.7061	0.4671	0.4671	0.4671	0.4671
2	03:47:04	0.0010	1.6646	1.5628	0.4955	0.4955	0.4955	0.4955
3	03:48:51	0.0010	1.5511	1.4618	0.5322	0.5322	0.5322	0.5322
4	03:50:39	0.0010	1.4621	1.3654	0.5568	0.5568	0.5568	0.5568
5	03:52:26	0.0010	1.3893	1.3161	0.5611	0.5611	0.5611	0.5611
6	03:54:14	0.0010	1.3221	1.2480	0.5864	0.5864	0.5864	0.5864
7	03:56:03	0.0010	1.2740	1.2010	0.5964	0.5964	0.5964	0.5964
8	03:57:50	0.0010	1.2272	1.1707	0.6060	0.6060	0.6060	0.6060
9	03:59:38	0.0010	1.1890	1.1372	0.6102	0.6102	0.6102	0.6102
10	04:01:27	0.0010	1.1518	1.1035	0.6166	0.6166	0.6166	0.6166
11	04:03:17	0.0010	1.1206	1.0878	0.6228	0.6228	0.6228	0.6228
12	04:05:06	0.0010	1.0957	1.0571	0.6350	0.6350	0.6350	0.6350
13	04:06:53	0.0010	1.0713	1.0427	0.6358	0.6358	0.6358	0.6358
14	04:08:41	0.0010	1.0434	1.0182	0.6373	0.6373	0.6373	0.6373
15	04:10:31	0.0010	1.0228	1.0073	0.6427	0.6427	0.6427	0.6427
16	04:12:20	0.0010	1.0049	0.9819	0.6498	0.6498	0.6498	0.6498
17	04:14:08	0.0010	0.9857	0.9688	0.6566	0.6566	0.6566	0.6566
18	04:15:56	0.0010	0.9692	0.9611	0.6475	0.6475	0.6475	0.6475
19	04:17:47	0.0010	0.9623	0.9524	0.6527	0.6527	0.6527	0.6527
20	04:19:35	0.0010	0.9406	0.9326	0.6675	0.6675	0.6675	0.6675
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	05:04:13	0.0010	1.5362	1.3194	0.5482	0.5482	0.5482	0.5482
2	05:05:32	0.0010	1.2749	1.1519	0.5954	0.5954	0.5954	0.5954
3	05:06:51	0.0010	1.1401	1.0371	0.6417	0.6417	0.6417	0.6417
4	05:08:10	0.0010	1.0347	0.9211	0.6877	0.6877	0.6877	0.6877
5	05:09:31	0.0010	0.9451	0.8271	0.7193	0.7193	0.7193	0.7193
6	05:10:50	0.0010	0.8795	0.7774	0.7374	0.7374	0.7374	0.7374
7	05:12:10	0.0010	0.8184	0.7193	0.7528	0.7528	0.7528	0.7528
8	05:13:29	0.0010	0.7708	0.6904	0.7633	0.7633	0.7633	0.7633
9	05:14:48	0.0010	0.7372	0.6466	0.7815	0.7815	0.7815	0.7815
10	05:16:08	0.0010	0.6997	0.6148	0.7898	0.7898	0.7898	0.7898
